"Qty","Designator","Part","Comment","Footprint"
"2","C1,C2","CAP","100n","CAP_0805"
"3","C3,C4,C5","CAP","1u","CAP_0805"
"1","D1","D_Schottky_Dual_CommonCathode_AAK","BAT54C","SOT-23"
"2","J3,J4","Conn_01x04","BC-12-4PD170-08","J_BATTERY_CONN"
"2","J1,J2","Conn_01x04","LBC1130B","J_4xPOGO_SMD"
"2","Q1,Q2","Q_Dual_PMOS_G1S2G2D2S1D1","WST2011","SOT-23-6"
"5","R1,R2,R5,R6,R7","RES","470R","RES_0402"
"3","R3,R4,R8","RES","10k","RES_0805"
"4","U1,U3,U4,U7","BL1551B","BL1551B","SOT-363_SC-70-6"
"1","U5","LM321","LMV321","SOT-23-5"
"2","U2,U6","U_ESD_4ch","NUP4202W1T2G","SOT-363_SC-70-6"
"1","U8","A1301KLHLT-T","OH49E-S","SOT-23W"
