Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C1,100n,CAP_0402,-7.8780,-11.0754,90.0000,top
C2,100n,CAP_0402,1.5000,-11.0000,270.0000,top
C3,1u,CAP_0402,4.0000,-11.0000,90.0000,top
C4,1u,CAP_0402,-42.0116,-11.0500,90.0000,top
C5,1u,CAP_0402,42.0116,-11.0500,90.0000,top
D1,BAT54C,SOT-23,-10.4180,-11.0500,180.0000,top
J3,BC-12-4PD170-08,J_BATTERY_CONN,-26.6700,-8.2500,0.0000,top
J4,BC-12-4PD170-08,J_BATTERY_CONN,26.6700,-8.2500,0.0000,top
Q1,WST2011,SOT-23-6,22.7500,-11.0500,180.0000,top
Q2,WST2011,SOT-23-6,-20.9550,-11.0500,0.0000,top
R1,470R,RES_0402,-29.2500,-11.7500,180.0000,top
R2,470R,RES_0402,-29.2500,-10.7500,180.0000,top
R3,10k,RES_0402,-1.0000,-11.0000,90.0000,top
R4,10k,RES_0402,0.2500,-11.0000,90.0000,top
R5,470R,RES_0402,30.2500,-10.7500,0.0000,top
R6,470R,RES_0402,30.2500,-11.7500,0.0000,top
R7,470R,RES_0402,-2.2500,-11.0000,90.0000,top
R8,10k,RES_0402,2.7500,-11.0500,270.0000,top
U1,BL1551B,SOT-363_SC-70-6,-37.0840,-11.0530,0.0000,top
U2,NUP4202W1T2G,SOT-363_SC-70-6,-25.4000,-11.5000,180.0000,top
U3,BL1551B,SOT-363_SC-70-6,-33.0200,-11.0530,0.0000,top
U4,BL1551B,SOT-363_SC-70-6,33.0200,-11.0500,180.0000,top
U5,LMV321,SOT-23-5,6.6040,-11.0754,180.0000,top
U6,NUP4202W1T2G,SOT-363_SC-70-6,26.7812,-11.0500,0.0000,top
U7,BL1551B,SOT-363_SC-70-6,36.8340,-11.0500,180.0000,top
U8,OH49E-S,SOT-23W,-16.5000,-11.2500,180.0000,top
