Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
,,,26.6700,-26.6700,0.0000,top
,,,-26.7500,-26.7500,90.0000,top
,,,-26.6700,-26.6700,90.0000,top
,,,26.6700,-26.6700,0.0000,top
SW1005,CPG135001D02,KEY-TH_CPG135001D0X,-40.0050,-13.3350,0.0,bottom
SW1006,CPG135001D02,KEY-TH_CPG135001D0X,-13.3350,-13.3350,0.0,bottom
SW1007,CPG135001D02,KEY-TH_CPG135001D0X,13.3350,-13.3350,0.0,bottom
SW1008,CPG135001D02,KEY-TH_CPG135001D0X,40.0050,-13.3350,0.0,bottom
SW1009,CPG135001D02,KEY-TH_CPG135001D0X,-40.0050,-40.0050,0.0,bottom
SW1010,CPG135001D02,KEY-TH_CPG135001D0X,-13.3350,-40.0050,0.0,bottom
SW1011,CPG135001D02,KEY-TH_CPG135001D0X,13.3350,-40.0050,0.0,bottom
SW1012,CPG135001D02,KEY-TH_CPG135001D0X,40.0050,-40.0050,0.0,bottom
